Spot,date,time,range,height,swell_dir,swell_angle,period,wind_kmh,wind_dir,wind,wind_angle,temp,Conditions
Nazare,06/02,6pm,7-11ft,4ft,W,276,14s,3,SSE,Offshore,158,12°c,Good
Nazare,07/02,6am,8-13ft,5ft,W,276,14s,10,SE,Offshore,128,10°c,Good
Nazare,07/02,12pm,8-13ft,5.5ft,W,276,13s,10,SSE,Offshore,147,16°c,Good
Nazare,07/02,6pm,9-14ft,5.5ft,W,277,13s,4,WSW,Onshore,252,12°c,Good
Nazare,08/02,6am,8-13ft,5.5ft,W,277,12s,11,SW,Cross/Onshore,214,11°c,Good
Nazare,08/02,12pm,10-16ft,7.5ft,WNW,285,13s,12,S,Offshore,176,14°c,Good
Nazare,08/02,6pm,12-20ft,9.5ft,WNW,288,13s,13,NNW,Onshore,343,12°c,Good
Nazare,09/02,6am,12-20ft,9ft,WNW,289,13s,3,SSE,Offshore,148,8°c,Good
Nazare,09/02,12pm,12-18ft,8.5ft,WNW,290,13s,6,SSW,Cross/Offshore,198,15°c,Good
Nazare,09/02,6pm,18-26ft,12ft,WNW,296,16s,6,WSW,Onshore,251,13°c,Good
Nazare,10/02,6am,16-24ft,11ft,WNW,297,15s,3,SSE,Offshore,161,10°c,Good
Nazare,10/02,12pm,16-24ft,12ft,WNW,299,15s,6,W,Onshore,278,17°c,Good
Nazare,10/02,6pm,20-30ft,15ft,WNW,300,17s,5,NNW,Onshore,329,12°c,Good
Nazare,11/02,6am,20-30ft,14.5ft,WNW,296,16s,2,NE,Cross/Offshore,35,10°c,Good
Nazare,11/02,12pm,20-30ft,15.5ft,WNW,298,16s,7,NW,Onshore,319,16°c,Good
Nazare,11/02,6pm,20-35ft,16ft,WNW,301,17s,5,NW,Onshore,323,12°c,Good
Nazare,12/02,6am,20-30ft,14.5ft,WNW,303,16s,1,ENE,Offshore,68,11°c,Good
Nazare,12/02,12pm,18-28ft,13ft,WNW,304,16s,3,SSW,Cross-shore,209,14°c,Good
Nazare,12/02,6pm,16-24ft,11.5ft,NW,307,15s,4,WNW,Onshore,295,12°c,Good
Nazare,13/02,6am,12-18ft,8ft,NW,313,14s,3,ESE,Offshore,121,9°c,Good
Nazare,13/02,12pm,10-16ft,7ft,NW,314,14s,6,S,Cross/Offshore,187,15°c,Good
Nazare,13/02,6pm,9-15ft,6.5ft,NW,314,13s,3,NW,Onshore,314,12°c,Good
Nazare,14/02,6am,16-24ft,11ft,NW,306,15s,2,E,Offshore,86,8°c,Good
Nazare,14/02,12pm,14-20ft,9.5ft,NW,305,14s,2,ENE,Offshore,78,18°c,Good
Nazare,14/02,6pm,12-18ft,8ft,NW,305,13s,3,NNW,Onshore,346,11°c,Good
Nazare,15/02,6am,20-30ft,13ft,WNW,286,19s,4,SE,Offshore,130,9°c,Good
Nazare,15/02,12pm,20-30ft,14ft,WNW,288,17s,7,S,Offshore,173,16°c,Good
Nazare,15/02,6pm,18-28ft,12.5ft,WNW,287,16s,5,WSW,Onshore,254,12°c,Good
Nazare,16/02,6am,16-26ft,12ft,WNW,291,15s,6,SE,Offshore,135,9°c,Good
Nazare,16/02,12pm,18-28ft,13.5ft,WNW,290,15s,16,SSW,Cross/Offshore,200,17°c,Good
Nazare,16/02,6pm,18-28ft,13.5ft,WNW,289,15s,14,SSW,Cross-shore,206,14°c,Good
Nazare,17/02,6am,20-30ft,15ft,WNW,291,15s,9,SSW,Cross-shore,206,13°c,Good
Nazare,17/02,12pm,25-35ft,16.5ft,WNW,295,19s,18,NNW,Onshore,348,14°c,Good
Nazare,17/02,6pm,25-35ft,18ft,WNW,298,18s,22,N,Onshore,353,11°c,Good
Nazare,18/02,6am,20-35ft,16.5ft,WNW,303,17s,26,N,Cross/Onshore,1,8°c,Good
Nazare,18/02,12pm,20-30ft,15ft,NW,306,16s,21,N,Onshore,350,13°c,Good
Nazare,18/02,6pm,18-28ft,13.5ft,NW,310,15s,25,N,Onshore,356,10°c,Good
Nazare,19/02,6am,14-22ft,10.5ft,NW,309,14s,7,NE,Cross/Offshore,44,5°c,Good
Nazare,19/02,12pm,12-20ft,9.5ft,NW,309,13s,8,E,Offshore,100,17°c,Good
Nazare,19/02,6pm,12-20ft,9ft,NW,309,13s,8,N,Onshore,349,11°c,Good
Nazare,20/02,6am,12-18ft,8ft,NW,307,13s,4,ESE,Offshore,108,7°c,Good
Nazare,20/02,12pm,10-16ft,7ft,NW,306,12s,4,NNW,Onshore,328,17°c,Good
Nazare,20/02,6pm,10-16ft,7.5ft,NW,306,12s,12,N,Onshore,349,12°c,Good
Nazare,21/02,6am,12-18ft,8.5ft,WNW,297,13s,3,ESE,Offshore,120,9°c,Good
Nazare,21/02,12pm,12-18ft,8.5ft,WNW,297,12s,12,ESE,Offshore,108,19°c,Good
Nazare,21/02,6pm,12-18ft,8.5ft,WNW,301,12s,2,N,Onshore,357,14°c,Good
Nazare,22/02,6am,14-22ft,9.5ft,NW,309,15s,4,SE,Offshore,129,10°c,Good
Nazare,22/02,12pm,12-20ft,9ft,NW,308,14s,5,SE,Offshore,135,21°c,Good
Nazare,22/02,6pm,14-22ft,9ft,WNW,303,16s,6,N,Onshore,359,14°c,Good
Nazare,23/02,6am,12-20ft,9ft,WNW,298,14s,2,E,Offshore,97,10°c,Good
Nazare,23/02,12pm,14-22ft,9.5ft,WNW,299,16s,10,ESE,Offshore,118,20°c,Good
Nazare,23/02,6pm,14-22ft,9.5ft,WNW,300,16s,5,N,Onshore,357,14°c,Good
