Spot,date,time,range,height_ft,swell_dir,swell_angle,period_sec,wind_kmh,wind_dir,wind,wind_angle,temp_°c,Conditions,Location,Longitud,Latitude
Mosca Point,07/01,12pm,1-2ft,3.5,NNE,16,7,9,ENE,Onshore,64,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,07/01,6pm,1-2ft,3.5,NNE,19,7,9,NE,Onshore,42,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,08/01,6am,1-2ft,3.0,NNE,19,7,13,NE,Onshore,37,12,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,08/01,12pm,1-2ft,3.0,NNE,22,7,11,NNE,Onshore,31,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,08/01,6pm,1-2ft,3.0,NNE,29,6,13,NNE,Cross/Onshore,24,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,09/01,6am,1-2ft,2.5,NNE,25,6,14,NNE,Cross/Onshore,20,12,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,09/01,12pm,1-2ft,3.0,NNE,23,6,15,NNE,Cross/Onshore,13,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,09/01,6pm,1-2ft,3.0,NNE,20,6,17,NNE,Cross/Onshore,11,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,10/01,6am,2ft,3.5,NNE,23,6,15,NNE,Cross/Onshore,15,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,10/01,12pm,2ft,4.0,NNE,27,7,15,NE,Onshore,35,16,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,10/01,6pm,2-3ft,4.0,NNE,27,7,15,NNE,Cross/Onshore,24,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,11/01,6am,2-3ft,3.5,NNE,29,7,15,NNE,Cross/Onshore,12,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,11/01,12pm,2ft,3.5,NNE,28,7,13,NNE,Cross/Onshore,20,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,11/01,6pm,1-2ft,3.0,NNE,26,7,15,NNE,Cross/Onshore,15,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,12/01,6am,1-2ft,3.5,NNE,21,7,13,NNE,Cross/Onshore,19,11,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,12/01,12pm,1-2ft,3.5,NNE,21,7,11,NE,Onshore,46,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,12/01,6pm,1-2ft,3.0,NNE,22,8,5,ENE,Onshore,69,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,13/01,6am,1-2ft,3.0,NNE,15,7,7,ESE,Onshore,118,11,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,13/01,12pm,2-3ft,2.5,E,89,5,10,SE,Onshore,137,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,13/01,6pm,2-3ft,2.5,ESE,108,5,10,S,Cross/Offshore,190,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,14/01,6am,1ft,1.3,ESE,121,5,7,S,Cross/Offshore,191,12,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,14/01,12pm,1ft,1.7,SE,133,4,11,SSE,Cross/Onshore,166,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,14/01,6pm,1ft,2.0,SSE,148,5,6,S,Cross-shore,176,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,15/01,6am,1ft,1.4,SSE,159,5,5,S,Cross-shore,182,10,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,15/01,12pm,0-1ft,1.1,SSE,153,4,6,SE,Onshore,135,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,15/01,6pm,0-1ft,1.0,SE,144,4,5,SE,Onshore,139,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,16/01,6am,Plano,0.3,S,184,12,2,SE,Onshore,131,10,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,16/01,12pm,0-1ft,2.5,N,350,15,3,ESE,Onshore,113,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,16/01,6pm,Plano,2.0,NNW,346,13,5,E,Onshore,89,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,17/01,6am,Plano,3.5,NNW,343,15,8,ENE,Onshore,78,11,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,17/01,12pm,1-2ft,1.5,ESE,101,5,12,ESE,Onshore,109,16,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,17/01,6pm,1-2ft,1.9,ESE,102,5,9,E,Onshore,98,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,18/01,6am,Plano,1.9,N,352,15,9,ESE,Onshore,115,12,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,18/01,12pm,1-2ft,2.0,E,83,5,10,ESE,Onshore,115,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,18/01,6pm,1-2ft,2.0,E,87,5,6,E,Onshore,87,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
